,,,num rnds/crds,,Card Types,,,,,,Modifiers/Add-ons,,,,,,,,,,,Clear Time Goals (seconds),,
,tutorial txt./notes,Notes,num rnds.,num crds.,numbers,colors,letters,direction,shapes,diagonal,maths ops,background color,misleading colors,text color,rotate,glitching,math ops+,fog,pop up,card swap,platformer,1 Star Time,2 Star Time,3 Star Time
1,TUTORIAL,,3,1,x,,,,,,,,,,,,,,,,,>30,>20,>10
2,TUTORIAL,,3,2,x,,,,,,,,,,,,,,,,,,,
3,TUTORIAL,,3,2,,,x,,,,,,,,,,,,,,,,,
4,,,3,2,x,,x,,,,,,,,,,,,,,,,,
5,TUTORIAL,,3,1,,,,,x,,,,,,,,,,,,,,,
6,TUTORIAL,,3,1,,,,x,,,,,,,,,,,,,,,,
7,TUTORIAL,,3,1,,x,,,,,,,,,,,,,,,,,,
8,,,3,2,x,,,x,x,,,,,,,,,,,,,,,
9,,,3,2,x,x,x,,,,,,,,,,,,,,,,,
10,,,2,3,x,x,x,x,x,,,,,,,,,,,,,,,
11,FLASH,,3,1,x,,,,,,,,,,,,,,,,,,,
12,TUTORIAL,,3,1,x,,,,,,x,,,,,,,,,,,,,
13,,,3,2,x,,,,,,x,,,,,,,,,,,,,
14,,,3,2,x,x,x,x,x,,x,,,,,,,,,,,,,
15,FLASH,,3,1,,,x,,x,,,,,,,,,,,,,,,
16,TUTORIAL,,3,2,x,,,,,,,x,,,,,,,,,,,,
17,,,3,1,x,,x,,x,,,x,,,,,,,,,,,,
18,,,2,2,x,,x,x,x,,,x,,,,,,,,,,,,
19,FLASH,,3,1,,,,x,x,,,,,,,,,,,,,,,
20,,,1,3,x,x,x,x,x,,x,x,,,,,,,,,,,,
21,FLASH,,3,1,x,x,,x,,,,,,,,,,,,,,,,
22,TUTORIAL,,3,1,,x,,,,,,,x,,,,,,,,,,,
23,,,3,1,,x,,,,,,x,x,,,,,,,,,,,
24,,,1,3,,x,,,,,,x,x,,,,,,,,,,,
25,FLASH,,3,1,,x,,,,,,x,x,,,,,,,,,,,
26,,,4,1,x,x,x,x,x,,x,,,,,,,,,,,,,
27,TUTORIAL,,3,1,,,,,,x,,,,,,,,,,,,,,
28,,,3,2,,,,x,,x,,,,,,,,,,,,,,
29,,,3,3,x,x,x,x,x,x,x,,,,,,,,,,,,,
30,,,3,2,,,,x,,x,,x,,,,,,,,,,,,
31,TUTORIAL,,3,1,x,x,x,,,,,,,x,,,,,,,,,,
32,,,3,2,x,x,x,x,,,,,,,,,,,,,,,,
33,,,3,2,,x,,,,,,,x,x,,,,,,,,,,
34,,,3,1,,x,,,,,,,x,x,,,,,,,,,,
35,,,1,2,,x,,,,,,x,x,x,,,,,,,,,,
36,FLASH,,3,1,,x,,,,,,x,x,x,,,,,,,,,,
37,,,1,4,x,x,x,x,x,x,x,,,,,,,,,,,,,
38,,,3,2,,,x,,,,,x,,x,,,,,,,,,,
39,,,3,2,x,x,x,,,,,,,x,,,,,,,,,,
40,,,3,2,x,,,,,,x,,,x,,,,,,,,,,
41,,,3,2,,x,,x,,x,,x,x,,,,,,,,,,,
42,,,3,2,x,x,x,x,x,x,,,,x,,,,,,,,,,
43,FLASH,,3,1,,,,,,x,,,,,,,,,,,,,,
44,FLASH,,3,1,x,,,,,,x,,,,,,,,,,,,,
45,TUTORIAL,,3,1,,,,x,,,,,,,x,,,,,,,,,
46,,,1,2,,,,x,,,,,,,x,,,,,,,,,
47,,,3,2,,x,x,x,,,,,,,x,,,,,,,,,
48,,,3,2,x,,,x,,,x,,,,x,,,,,,,,,
49,,,2,2,,,,x,,,,x,,,x,,,,,,,,,
50,FLASH,,3,1,x,,,,,,x,x,,,,,,,,,,,,
51,,,1,3,x,x,x,x,x,,,,,,x,,,,,,,,,
52,,,1,4,x,x,x,x,x,,,,,,x,,,,,,,,,
53,FLASH,,3,1,x,x,,x,,,,x,x,,,,,,,,,,,
54,,,1,2,,,,x,,x,,,,,x,,,,,,,,,
55,FLASH,,3,1,,,,x,,x,,,,,x,,,,,,,,,
56,FLASH,,3,1,,x,,,,,,x,x,x,,,,,,,,,,
57,,,3,1,,,,,,x,,x,,,x,,,,,,,,,
58,,,1,4,x,x,x,x,x,,,,x,,,,,,,,,,,
59,,,1,4,x,,,,,x,x,x,,,,,,,,,,,,
60,,,2,3,,,x,x,x,,,x,,,,,,,,,,,,
61,,Mathops 100%,2,3,x,,,,,,x,,,,,,,,,,,,,
62,,Mathops 100%,1,4,x,,,,,,x,,,,,,,,,,,,,
63,,Mathops 100%,1,3,x,,,,,,x,x,,,,,,,,,,,,
64,TUTORIAL,,1,3,x,,,,,,,,,,,x,,,,,,,,
65,,,3,3,x,x,x,,,,,,,,,x,,,,,,,,
66,,,3,3,,x,,x,x,,,,,,,x,,,,,,,,
67,,,1,2,x,,,,,,,,,,,,,,,,,,,
68,,,2,2,,x,,,,,,x,x,x,,x,,,,,,,,
69,,Mathops 100%,3,2,x,,,,,,x,,,,,x,,,,,,,,
70,,,1,3,,,,x,,x,,,,,x,x,,,,,,,,
71,,,1,4,,x,,,,,,x,x,,,x,,,,,,,,
72,FLASH,,3,1,,,x,,,,,,,x,,,,,,,,,,
73,,,2,4,x,x,,,x,,,x,,,,x,,,,,,,,
74,,,2,4,,x,x,x,,,,x,,,,x,,,,,,,,
75,FLASH,,3,1,,x,,,,,x,x,,x,,,,,,,,,,
76,,,3,1,,,,,,x,,,,,x,x,,,,,,,,
77,FLASH,,3,1,x,x,x,,,,,x,x,x,,,,,,,,,,
78,,,1,4,x,,x,,,,,,,x,,x,,,,,,,,
79,,,1,3,,x,,,,,,x,x,x,,x,,,,,,,,
80,,,2,2,,,,x,,x,,,,,x,x,,,,,,,,
81,TUTORIAL,,3,1,x,,,,,,,,,,,,x,,,,,,,
82,,,3,1,x,,,,,,,x,,,,x,x,,,,,,,
83,FLASH,Mathops 100%,3,1,x,,,,,,,,,,,,x,,,,,,,
84,,,3,2,,,,,,,,,,,,,x,,,,,,,
85,,,3,2,,,,,,,,,,x,,,x,,,,,,,
86,,,2,4,x,x,x,x,x,,,,,,,,,,,,,,,
87,,,2,4,x,,x,x,x,,,,,x,,,,,,,,,,
88,FLASH,,3,1,,,,x,,,,x,,,x,,,,,,,,,
89,,,1,4,x,,,x,,,,,,,x,,x,,,,,,,
90,TUTORIAL,,1,2,x,,,,,,,,,,,,,x,,,,,,
91,,,3,1,x,x,x,x,x,,,,,,,,,x,,,,,,
92,,,1,3,,x,,,,,,x,x,,,,,x,,,,,,
93,,,1,2,,,,x,,x,,,,,x,,,x,,,,,,
94,,,2,2,x,,,,,,x,x,,,,,,x,,,,,,
95,,,2,2,x,,,,,,x,x,,,,,x,x,,,,,,
96,,,1,3,x,x,x,x,x,,,,,,,x,,x,,,,,,
97,FLASH,,3,1,,,x,,,,,x,,x,,,,,,,,,,
98,FLASH,,3,1,x,,,,,,,x,,,,,x,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,
125,TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,
150,TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,
175,TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,
200,TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,